36,0.662714,74.125.109.9,172.16.58.158,TCP,1462,[TCP Retransmission] 443  >  50300 [ACK] Seq=36748 Ack=2046 Win=69632 Len=1408
37,0.663362,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=39052 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
38,0.664641,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=40460 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
39,0.665174,74.125.109.9,172.16.58.158,TCP,566,443  >  50300 [ACK] Seq=41868 Ack=2046 Win=69632 Len=512 [TCP segment of a reassembled PDU]
40,0.666398,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=42380 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
41,0.674196,74.125.109.9,172.16.58.158,TCP,566,443  >  50300 [ACK] Seq=43788 Ack=2046 Win=69632 Len=512 [TCP segment of a reassembled PDU]
42,0.678386,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=44300 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
43,0.678388,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=45708 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
44,0.695419,74.125.109.9,172.16.58.158,TCP,438,"443  >  50300 [PSH, ACK] Seq=47116 Ack=2046 Win=69632 Len=384 [TCP segment of a reassembled PDU]"
45,0.712133,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=47500 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
46,0.723817,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=48908 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
47,0.727319,74.125.109.9,172.16.58.158,TCP,1078,443  >  50300 [ACK] Seq=50316 Ack=2046 Win=69632 Len=1024 [TCP segment of a reassembled PDU]
48,0.727793,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=51340 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
49,0.735327,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=52748 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
50,0.736341,74.125.109.9,172.16.58.158,TLSv1.2,1462,Application Data [TCP segment of a reassembled PDU]
51,0.737003,74.125.109.9,172.16.58.158,TCP,438,443  >  50300 [ACK] Seq=55564 Ack=2046 Win=69632 Len=384 [TCP segment of a reassembled PDU]
52,0.742961,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=55948 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
53,0.748775,74.125.109.9,172.16.58.158,TCP,566,[TCP Previous segment not captured] 443  >  50300 [ACK] Seq=58764 Ack=2046 Win=69632 Len=512 [TCP segment of a reassembled PDU]
54,0.754916,74.125.109.9,172.16.58.158,TCP,1462,[TCP Retransmission] 443  >  50300 [ACK] Seq=57356 Ack=2046 Win=69632 Len=1408
55,0.768445,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=59276 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
56,0.778565,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=60684 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
57,0.779005,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=62092 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
58,0.779293,74.125.109.9,172.16.58.158,TCP,950,"443  >  50300 [PSH, ACK] Seq=63500 Ack=2046 Win=69632 Len=896 [TCP segment of a reassembled PDU]"
59,0.839176,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=64396 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
60,0.842429,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=65804 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
61,0.842867,74.125.109.9,172.16.58.158,TCP,566,443  >  50300 [ACK] Seq=67212 Ack=2046 Win=69632 Len=512 [TCP segment of a reassembled PDU]
62,0.854925,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=67724 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
63,0.85657,74.125.109.9,172.16.58.158,TCP,1078,443  >  50300 [ACK] Seq=69132 Ack=2046 Win=69632 Len=1024 [TCP segment of a reassembled PDU]
64,0.861412,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=70156 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
65,0.861875,74.125.109.9,172.16.58.158,TCP,1334,443  >  50300 [ACK] Seq=71564 Ack=2046 Win=69632 Len=1280 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU]
66,0.887736,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=72844 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
67,0.8927,74.125.109.9,172.16.58.158,TCP,566,443  >  50300 [ACK] Seq=74252 Ack=2046 Win=69632 Len=512 [TCP segment of a reassembled PDU]
68,0.895544,74.125.109.9,172.16.58.158,TCP,566,[TCP Previous segment not captured] 443  >  50300 [ACK] Seq=76172 Ack=2046 Win=69632 Len=512 [TCP segment of a reassembled PDU]
69,0.911927,74.125.109.9,172.16.58.158,TCP,1462,[TCP Retransmission] 443  >  50300 [ACK] Seq=74764 Ack=2046 Win=69632 Len=1408
70,0.921591,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=76684 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
71,0.927947,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=78092 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
72,0.939659,74.125.109.9,172.16.58.158,TCP,1462,443  >  50300 [ACK] Seq=79500 Ack=2046 Win=69632 Len=1408 [TCP segment of a reassembled PDU]
73,0.940814,74.125.109.9,172.16.58.158,TCP,438,"443  >  50300 [PSH, ACK] Seq=80908 Ack=2046 Win=69632 Len=384 [TCP segment of a reassembled PDU]"
